0_shot,1_shot,2_shot,3_shot,4_shot
5.721149444580078,4.20451021194458,3.800248384475708,3.3709402084350586,3.484513998031616
3.862708568572998,2.725515604019165,2.3429479598999023,2.1638219356536865,2.144094467163086
4.174200534820557,3.213979482650757,2.7206525802612305,2.438271999359131,2.53619122505188
3.7334179878234863,3.022324562072754,2.692453622817993,2.384063959121704,2.4008688926696777
3.6710939407348633,2.642592191696167,2.3371686935424805,2.2008209228515625,2.0852904319763184
3.7005326747894287,2.7016475200653076,2.389894485473633,2.0760602951049805,2.1562423706054688
4.277148246765137,2.9528326988220215,2.554657459259033,2.325084686279297,2.3669791221618652
3.7756810188293457,3.0035769939422607,2.7083160877227783,2.3856537342071533,2.4617490768432617
7.659106731414795,4.245323181152344,3.3954641819000244,2.832777976989746,2.742969036102295
3.7629036903381348,2.937603235244751,2.6729910373687744,2.3959693908691406,2.4146194458007812
3.5853891372680664,2.8767809867858887,2.6432838439941406,2.435237169265747,2.4436428546905518
5.19366979598999,3.5055384635925293,2.8739113807678223,2.661447286605835,2.526965379714966
6.202505588531494,4.601957321166992,4.372081279754639,4.014036655426025,3.9946258068084717
3.8219261169433594,2.6893422603607178,2.5226821899414062,2.2196767330169678,2.2455921173095703
3.0576815605163574,2.4464974403381348,2.2599127292633057,2.041668653488159,2.061807632446289
5.696664810180664,3.629708766937256,3.127274990081787,2.7304837703704834,2.716414213180542
4.458563804626465,3.2386269569396973,2.815345048904419,2.5063669681549072,2.5808651447296143
5.247213840484619,3.819446086883545,3.8361287117004395,3.851320505142212,3.850590705871582
3.5569188594818115,2.794208526611328,2.5615198612213135,2.50085186958313,2.274749517440796
3.866180896759033,2.892756700515747,2.4805045127868652,2.1949472427368164,2.2004318237304688
5.6381049156188965,3.845168352127075,3.258715867996216,2.82456636428833,2.647155284881592
4.247235298156738,2.9217336177825928,2.7295196056365967,2.381042718887329,2.355220317840576
4.434627056121826,3.437516212463379,3.187917947769165,2.8411738872528076,2.8285117149353027
3.4945359230041504,2.6749961376190186,2.624539613723755,2.2617692947387695,2.2732105255126953
6.520369052886963,4.447093486785889,3.789417028427124,3.6353678703308105,3.4511473178863525
5.117520332336426,3.5875370502471924,3.3029251098632812,2.9270403385162354,2.92826247215271
5.737321376800537,3.938260793685913,3.532430410385132,3.1847641468048096,2.951726198196411
5.684685707092285,3.8903236389160156,3.3051505088806152,3.093383312225342,2.9076991081237793
6.976712703704834,4.474884986877441,3.4690284729003906,3.0558605194091797,3.1512322425842285
4.4336018562316895,3.235582113265991,3.007495880126953,2.758418560028076,2.696720838546753
4.245569229125977,2.996063470840454,3.018270492553711,2.8982062339782715,2.9934732913970947
4.924948215484619,4.0341691970825195,3.877887010574341,3.957263708114624,3.7231154441833496
4.152438640594482,3.51009464263916,3.64825439453125,3.5363476276397705,3.5554473400115967
4.01264762878418,2.945338010787964,2.9377167224884033,3.0588674545288086,3.0732734203338623
4.984616756439209,3.482738971710205,3.136500358581543,3.11364483833313,2.981194496154785
4.3658881187438965,3.189044713973999,2.9001448154449463,2.9658076763153076,2.9915850162506104
4.213535308837891,2.7022767066955566,2.530200719833374,2.543640375137329,2.536818504333496
4.50519323348999,2.5057084560394287,2.4280037879943848,2.508395195007324,2.3910446166992188
5.507524490356445,3.1332173347473145,2.9237256050109863,2.889537811279297,2.7281265258789062
4.621011257171631,2.704650402069092,2.5305874347686768,2.5040316581726074,2.4777255058288574
3.6425020694732666,2.503541946411133,2.3941457271575928,2.4252779483795166,2.287835121154785
4.361123085021973,2.8310751914978027,2.7647883892059326,2.6920278072357178,2.6369476318359375
4.2689433097839355,2.8766965866088867,2.6804089546203613,2.6986193656921387,2.7226009368896484
5.340763568878174,3.174123525619507,2.890815258026123,2.8575780391693115,2.799450397491455
3.88735032081604,2.7703144550323486,2.541318655014038,2.497213840484619,2.4401943683624268
3.8162684440612793,2.4489688873291016,2.210118532180786,2.2586474418640137,2.2614283561706543
3.9721267223358154,3.1844379901885986,3.134793281555176,3.114077091217041,3.0172617435455322
4.422214031219482,2.9471590518951416,2.687561273574829,2.6398234367370605,2.5756821632385254
4.874495983123779,3.1684563159942627,2.8759844303131104,2.835059404373169,2.7526814937591553
4.509634971618652,3.156905174255371,3.1711747646331787,3.032473087310791,3.0945348739624023
4.0167999267578125,2.997992753982544,3.2077550888061523,3.172088861465454,3.2055253982543945
4.580990314483643,2.9861745834350586,2.76438570022583,2.8166515827178955,2.652183771133423
3.4154350757598877,2.533637762069702,2.4653682708740234,2.4107770919799805,2.3555541038513184
4.686647891998291,3.0908195972442627,2.8763585090637207,2.854370355606079,2.736335277557373
4.767455577850342,3.2248029708862305,2.9161064624786377,2.949366807937622,2.8467438220977783
4.336996078491211,2.844982147216797,2.7702388763427734,2.7488675117492676,2.64579439163208
4.311630725860596,3.292843818664551,3.198502540588379,3.237239360809326,3.2945523262023926
4.698062896728516,3.088897228240967,2.8483362197875977,2.876096248626709,2.790894031524658
4.660150527954102,2.991499185562134,2.7997701168060303,2.8400754928588867,2.703359603881836
4.63956356048584,3.2295641899108887,3.2323784828186035,3.3348746299743652,3.409332036972046
